Base,Comm,Agent_number,Dataset,Pred_length,MSE,MAE
Hete,chain,8,AQShunyi,336,0.6708995699882507,0.5071190595626831
Hete,chain,16,AQShunyi,192,0.7007455229759216,0.5033309459686279
Hete,chain,4,AQShunyi,192,0.7030946612358093,0.504956841468811
Hete,chain,16,AQShunyi,96,0.7219855785369873,0.5035762786865234
Hete,chain,20,AQShunyi,96,0.7253517508506775,0.5043050050735474
Hete,chain,4,AQShunyi,720,0.7461550235748291,0.5386210083961487
Hete,chain,20,AQShunyi,336,0.6734557747840881,0.5080099701881409
Hete,chain,8,AQShunyi,192,0.6994439959526062,0.5036398768424988
Hete,chain,24,AQShunyi,96,0.7189958691596985,0.5015144348144531
Hete,chain,24,AQShunyi,720,0.7426921129226685,0.5355520248413086
Hete,chain,4,AQShunyi,336,0.6746494770050049,0.50709068775177
Hete,chain,12,AQShunyi,96,0.7303528785705566,0.504346489906311
Hete,chain,12,AQShunyi,192,0.7099360823631287,0.505432665348053
Hete,chain,8,AQShunyi,96,0.7260722517967224,0.5039225220680237
Hete,chain,16,AQShunyi,720,0.7296326756477356,0.5331010222434998
Hete,chain,20,AQShunyi,720,0.7335131764411926,0.5341450572013855
Hete,chain,4,AQShunyi,96,0.7233319282531738,0.5031626224517822
Hete,chain,8,AQShunyi,720,0.7368097901344299,0.5354374051094055
Hete,chain,24,AQShunyi,336,0.6760458946228027,0.5102032423019409
Hete,chain,12,AQShunyi,720,0.7340065240859985,0.5323307514190674
Hete,chain,12,AQShunyi,336,0.6700939536094666,0.5063360929489136
Hete,chain,20,AQShunyi,192,0.701378345489502,0.5054318904876709
Hete,chain,24,AQShunyi,192,0.698797881603241,0.5033833384513855
Hete,chain,16,AQShunyi,336,0.6715348362922668,0.5080289244651794
Hete,chain,8,AQWan,336,0.7662962675094604,0.4983227849006653
Hete,chain,16,AQWan,192,0.8072761297225952,0.49827006459236145
Hete,chain,4,AQWan,192,0.8056913614273071,0.4993191659450531
Hete,chain,16,AQWan,96,0.8325843214988708,0.49705079197883606
Hete,chain,20,AQWan,96,0.8227623701095581,0.4936234652996063
Hete,chain,4,AQWan,720,0.8925087451934814,0.5436103940010071
Hete,chain,20,AQWan,336,0.7720009088516235,0.4994058609008789
Hete,chain,8,AQWan,192,0.793117880821228,0.49555495381355286
Hete,chain,24,AQWan,96,0.8245782852172852,0.4937373995780945
Hete,chain,24,AQWan,720,0.8733274936676025,0.5354300737380981
Hete,chain,4,AQWan,336,0.7805286645889282,0.502746045589447
Hete,chain,12,AQWan,96,0.8176210522651672,0.49181607365608215
Hete,chain,12,AQWan,192,0.800050675868988,0.49648964405059814
Hete,chain,8,AQWan,96,0.8175271153450012,0.4917294383049011
Hete,chain,16,AQWan,720,0.871187150478363,0.5356947183609009
Hete,chain,20,AQWan,720,0.8826619982719421,0.5382864475250244
Hete,chain,4,AQWan,96,0.8086356520652771,0.4911167025566101
Hete,chain,8,AQWan,720,0.8713733553886414,0.5371223092079163
Hete,chain,24,AQWan,336,0.7697988748550415,0.5008856654167175
Hete,chain,12,AQWan,720,0.8613617420196533,0.5312783122062683
Hete,chain,12,AQWan,336,0.7698685526847839,0.4994405210018158
Hete,chain,20,AQWan,192,0.7979849576950073,0.4972473382949829
Hete,chain,24,AQWan,192,0.7940084934234619,0.49624553322792053
Hete,chain,16,AQWan,336,0.7714818716049194,0.501235842704773
Hete,chain,8,CzeLan,336,0.23918451368808746,0.28464069962501526
Hete,chain,16,CzeLan,192,0.23693692684173584,0.27923157811164856
Hete,chain,4,CzeLan,192,0.22046135365962982,0.26229774951934814
Hete,chain,16,CzeLan,96,0.20835208892822266,0.2531017065048218
Hete,chain,20,CzeLan,96,0.20950835943222046,0.25459909439086914
Hete,chain,4,CzeLan,720,0.25721603631973267,0.2998245060443878
Hete,chain,20,CzeLan,336,0.23982028663158417,0.2857579290866852
Hete,chain,8,CzeLan,192,0.2150966376066208,0.2587868571281433
Hete,chain,24,CzeLan,96,0.21315862238407135,0.25788620114326477
Hete,chain,24,CzeLan,720,0.25296008586883545,0.29918497800827026
Hete,chain,4,CzeLan,336,0.23469464480876923,0.2836393117904663
Hete,chain,12,CzeLan,96,0.2092534601688385,0.25516247749328613
Hete,chain,12,CzeLan,192,0.2335173785686493,0.277753621339798
